City,State,Age Group,Gender,Coffee Type,Daily Cups Consumed,Preferred Coffee Brand,Consumption Setting,Monthly Coffee Expense (INR),Reason for Consumption,Milk Preference,Sugar Preference,Awareness of Specialty Coffee,Frequency of Café Visits (Per Week),Preferred Time of Consumption,Influence of Social Media on Choice
Jaipur,Rajasthan,50+,Male,Instant,5,Starbucks,Home,416,Energy,Yes,High Sugar,Yes,1,Night,Yes
Hyderabad,Telangana,26-35,Female,Cold Coffee,3,Bru,Café,4039,Energy,Yes,High Sugar,Yes,3,Night,No
Mumbai,Maharashtra,36-50,Other,Filter Coffee,4,Bru,Café,4262,Habit,Yes,No Sugar,Yes,5,Night,Yes
Ahmedabad,Gujarat,18-25,Male,Brewed,3,Nestlé,Café,3879,Taste,No,No Sugar,No,1,Evening,Yes
Hyderabad,Telangana,18-25,Other,Cold Coffee,5,Local Brand,Office,1496,Energy,No,Less Sugar,No,2,Afternoon,Yes
Pune,Maharashtra,18-25,Male,Instant,1,Others,Office,4196,Taste,Yes,No Sugar,No,2,Morning,Yes
Lucknow,Uttar Pradesh,18-25,Male,Cold Coffee,5,Local Brand,Office,1355,Energy,Yes,Less Sugar,No,6,Evening,Yes
Kolkata,West Bengal,36-50,Other,Brewed,4,Starbucks,Café,2566,Taste,No,Medium Sugar,Yes,3,Afternoon,No
Pune,Maharashtra,36-50,Other,Brewed,5,Local Brand,Home,984,Socializing,No,High Sugar,No,4,Morning,Yes
Mumbai,Maharashtra,36-50,Male,Brewed,4,Others,Office,1281,Taste,No,Less Sugar,No,4,Afternoon,Yes
Pune,Maharashtra,50+,Female,Filter Coffee,2,Others,Office,1814,Taste,No,High Sugar,No,3,Morning,Yes
Ahmedabad,Gujarat,18-25,Other,Brewed,5,Starbucks,Home,2616,Taste,No,No Sugar,Yes,0,Afternoon,Yes
Kolkata,West Bengal,50+,Other,Brewed,2,Nestlé,Office,3853,Taste,Yes,High Sugar,No,0,Morning,No
Bangalore,Karnataka,18-25,Male,Filter Coffee,1,Bru,Office,704,Habit,Yes,Less Sugar,No,3,Night,Yes
Jaipur,Rajasthan,50+,Other,Filter Coffee,1,Nestlé,Home,3586,Energy,No,No Sugar,Yes,4,Morning,Yes
Ahmedabad,Gujarat,50+,Female,Brewed,1,Local Brand,Home,3416,Socializing,Yes,Less Sugar,Yes,0,Evening,Yes
Pune,Maharashtra,50+,Other,Filter Coffee,3,Local Brand,Café,1608,Energy,No,Medium Sugar,Yes,4,Morning,Yes
Kolkata,West Bengal,18-25,Other,Cold Coffee,3,Nestlé,Office,1677,Taste,Yes,High Sugar,Yes,2,Evening,Yes
Lucknow,Uttar Pradesh,18-25,Female,Espresso,1,Local Brand,Café,2597,Habit,Yes,Medium Sugar,Yes,5,Afternoon,No
Chennai,Tamil Nadu,50+,Male,Filter Coffee,3,Nestlé,Café,849,Energy,Yes,No Sugar,No,2,Night,Yes
Lucknow,Uttar Pradesh,18-25,Other,Cold Coffee,3,Nestlé,Office,1699,Habit,Yes,High Sugar,No,6,Evening,Yes
Chennai,Tamil Nadu,26-35,Male,Filter Coffee,4,Local Brand,Café,795,Energy,Yes,High Sugar,No,2,Night,No
Kolkata,West Bengal,18-25,Other,Instant,2,Starbucks,Home,930,Socializing,No,Less Sugar,Yes,0,Evening,No
Kolkata,West Bengal,26-35,Male,Cold Coffee,2,Starbucks,Home,2443,Taste,No,No Sugar,Yes,5,Morning,Yes
Pune,Maharashtra,50+,Female,Cold Coffee,5,Local Brand,Café,1401,Habit,No,High Sugar,No,3,Afternoon,No
Delhi,Delhi,36-50,Male,Espresso,2,Local Brand,Café,957,Taste,Yes,High Sugar,Yes,2,Morning,Yes
Mumbai,Maharashtra,50+,Other,Instant,1,Nestlé,Home,3588,Socializing,Yes,No Sugar,Yes,3,Morning,Yes
Bangalore,Karnataka,18-25,Other,Brewed,2,Bru,Café,2041,Energy,No,No Sugar,Yes,5,Night,No
Ahmedabad,Gujarat,36-50,Male,Filter Coffee,1,Local Brand,Home,861,Energy,No,High Sugar,No,4,Evening,No
Lucknow,Uttar Pradesh,18-25,Female,Brewed,4,Others,Café,4817,Socializing,Yes,High Sugar,Yes,0,Afternoon,Yes
Ahmedabad,Gujarat,50+,Male,Filter Coffee,5,Nestlé,Home,989,Habit,No,No Sugar,Yes,1,Night,Yes
Bangalore,Karnataka,36-50,Female,Espresso,2,Starbucks,Office,371,Taste,Yes,Medium Sugar,No,0,Night,No
Lucknow,Uttar Pradesh,26-35,Male,Cold Coffee,3,Local Brand,Café,2085,Habit,Yes,No Sugar,Yes,3,Afternoon,Yes
Jaipur,Rajasthan,36-50,Other,Filter Coffee,4,Local Brand,Home,1249,Habit,No,Medium Sugar,Yes,1,Afternoon,No
Chennai,Tamil Nadu,50+,Other,Instant,2,Others,Home,1015,Habit,No,Medium Sugar,Yes,6,Night,No
Ahmedabad,Gujarat,50+,Male,Instant,3,Others,Office,953,Taste,No,Less Sugar,Yes,5,Morning,Yes
Hyderabad,Telangana,26-35,Other,Filter Coffee,1,Others,Café,3004,Taste,Yes,Medium Sugar,No,1,Morning,No
Delhi,Delhi,26-35,Male,Filter Coffee,3,Local Brand,Café,1006,Energy,No,No Sugar,Yes,6,Morning,No
Pune,Maharashtra,36-50,Other,Cold Coffee,5,Local Brand,Office,903,Taste,No,Less Sugar,No,6,Night,No
Jaipur,Rajasthan,26-35,Other,Brewed,4,Others,Café,2839,Habit,Yes,Medium Sugar,No,6,Evening,Yes
Chennai,Tamil Nadu,50+,Male,Cold Coffee,2,Bru,Office,1364,Habit,No,High Sugar,Yes,3,Morning,No
Hyderabad,Telangana,50+,Male,Brewed,3,Others,Office,646,Socializing,No,Less Sugar,Yes,1,Afternoon,Yes
Kolkata,West Bengal,26-35,Male,Filter Coffee,1,Nestlé,Café,2660,Energy,Yes,Medium Sugar,No,4,Night,Yes
Delhi,Delhi,36-50,Male,Cold Coffee,3,Bru,Home,3642,Habit,No,No Sugar,Yes,6,Afternoon,No
Kolkata,West Bengal,36-50,Male,Cold Coffee,2,Bru,Home,1491,Socializing,Yes,Medium Sugar,No,6,Evening,Yes
Kolkata,West Bengal,18-25,Female,Espresso,1,Bru,Office,1600,Taste,Yes,Less Sugar,No,4,Morning,Yes
Ahmedabad,Gujarat,50+,Female,Filter Coffee,5,Starbucks,Café,904,Energy,Yes,Medium Sugar,Yes,6,Evening,No
Pune,Maharashtra,18-25,Other,Brewed,2,Local Brand,Café,1204,Taste,Yes,High Sugar,Yes,4,Evening,Yes
Hyderabad,Telangana,50+,Female,Instant,1,Starbucks,Home,1172,Socializing,Yes,Less Sugar,No,5,Night,No
Delhi,Delhi,36-50,Other,Brewed,5,Starbucks,Office,643,Taste,No,Medium Sugar,No,2,Morning,No
Jaipur,Rajasthan,26-35,Other,Filter Coffee,5,Starbucks,Office,4935,Socializing,No,Less Sugar,Yes,3,Night,Yes
Hyderabad,Telangana,50+,Male,Instant,2,Local Brand,Office,3665,Habit,Yes,High Sugar,No,6,Morning,Yes
Mumbai,Maharashtra,26-35,Female,Filter Coffee,5,Others,Home,1923,Habit,No,Less Sugar,No,0,Afternoon,No
Ahmedabad,Gujarat,50+,Female,Espresso,3,Starbucks,Home,2119,Taste,Yes,Medium Sugar,No,6,Morning,No
Kolkata,West Bengal,18-25,Male,Filter Coffee,4,Starbucks,Office,4415,Energy,Yes,Less Sugar,No,5,Evening,No
Kolkata,West Bengal,26-35,Other,Brewed,4,Local Brand,Café,4081,Habit,No,Less Sugar,No,6,Evening,No
Kolkata,West Bengal,36-50,Male,Brewed,2,Starbucks,Office,2911,Taste,No,Medium Sugar,No,0,Evening,Yes
Pune,Maharashtra,36-50,Other,Brewed,5,Bru,Office,3848,Energy,No,High Sugar,Yes,5,Evening,No
Hyderabad,Telangana,50+,Female,Espresso,5,Others,Office,1856,Taste,Yes,No Sugar,No,4,Night,Yes
Ahmedabad,Gujarat,18-25,Female,Brewed,4,Others,Office,446,Habit,Yes,High Sugar,Yes,1,Evening,Yes
Hyderabad,Telangana,36-50,Male,Instant,5,Bru,Office,3539,Socializing,Yes,Medium Sugar,No,6,Evening,Yes
Hyderabad,Telangana,18-25,Male,Cold Coffee,3,Starbucks,Office,4919,Energy,No,High Sugar,No,0,Morning,No
Pune,Maharashtra,26-35,Female,Brewed,3,Local Brand,Home,2039,Habit,No,High Sugar,Yes,5,Morning,No
Ahmedabad,Gujarat,50+,Male,Filter Coffee,4,Others,Home,4698,Habit,No,No Sugar,No,2,Afternoon,Yes
Ahmedabad,Gujarat,26-35,Female,Filter Coffee,4,Nestlé,Home,4041,Socializing,Yes,No Sugar,No,4,Morning,Yes
Delhi,Delhi,18-25,Female,Filter Coffee,1,Local Brand,Office,3950,Energy,No,Less Sugar,No,4,Night,No
Ahmedabad,Gujarat,50+,Male,Instant,1,Others,Home,4500,Taste,No,High Sugar,Yes,2,Afternoon,No
Ahmedabad,Gujarat,50+,Other,Cold Coffee,2,Local Brand,Café,3714,Energy,No,No Sugar,No,1,Night,Yes
Hyderabad,Telangana,36-50,Female,Cold Coffee,4,Bru,Café,2968,Socializing,No,Less Sugar,Yes,0,Evening,Yes
Lucknow,Uttar Pradesh,18-25,Male,Cold Coffee,4,Bru,Café,4428,Energy,Yes,High Sugar,Yes,3,Evening,No
Hyderabad,Telangana,26-35,Female,Filter Coffee,4,Nestlé,Home,2659,Habit,No,Less Sugar,Yes,0,Morning,Yes
Lucknow,Uttar Pradesh,36-50,Male,Filter Coffee,3,Nestlé,Office,1918,Energy,No,No Sugar,No,1,Night,No
Pune,Maharashtra,26-35,Male,Brewed,5,Nestlé,Café,1250,Habit,No,Less Sugar,Yes,1,Afternoon,No
Hyderabad,Telangana,26-35,Female,Espresso,4,Nestlé,Home,2449,Habit,Yes,Less Sugar,Yes,1,Morning,Yes
Delhi,Delhi,26-35,Female,Espresso,2,Local Brand,Café,4876,Habit,Yes,Medium Sugar,No,1,Night,No
Mumbai,Maharashtra,26-35,Male,Filter Coffee,2,Nestlé,Café,732,Socializing,Yes,Medium Sugar,Yes,5,Afternoon,Yes
Delhi,Delhi,36-50,Male,Espresso,3,Starbucks,Café,2854,Socializing,Yes,High Sugar,No,5,Afternoon,No
Jaipur,Rajasthan,50+,Male,Filter Coffee,1,Starbucks,Office,1452,Habit,No,No Sugar,Yes,4,Night,Yes
Bangalore,Karnataka,50+,Female,Brewed,2,Others,Home,1033,Energy,No,No Sugar,No,6,Afternoon,No
Bangalore,Karnataka,26-35,Male,Instant,1,Others,Home,2409,Habit,No,Medium Sugar,Yes,1,Evening,Yes
Pune,Maharashtra,50+,Other,Brewed,4,Nestlé,Office,3624,Taste,No,Less Sugar,Yes,3,Morning,Yes
Mumbai,Maharashtra,26-35,Other,Brewed,5,Others,Office,4114,Taste,Yes,No Sugar,No,4,Morning,No
Lucknow,Uttar Pradesh,36-50,Female,Filter Coffee,2,Local Brand,Home,4854,Socializing,Yes,High Sugar,Yes,4,Afternoon,Yes
Hyderabad,Telangana,18-25,Male,Espresso,1,Starbucks,Café,1385,Energy,Yes,Less Sugar,Yes,0,Evening,Yes
Chennai,Tamil Nadu,50+,Male,Espresso,2,Local Brand,Café,3733,Taste,Yes,No Sugar,Yes,2,Morning,No
Hyderabad,Telangana,36-50,Other,Cold Coffee,1,Bru,Office,1066,Energy,No,No Sugar,No,4,Morning,Yes
Chennai,Tamil Nadu,50+,Female,Instant,2,Local Brand,Office,3378,Socializing,No,Less Sugar,Yes,0,Evening,No
Jaipur,Rajasthan,26-35,Female,Instant,5,Others,Home,3918,Energy,No,No Sugar,Yes,5,Morning,No
Chennai,Tamil Nadu,50+,Male,Cold Coffee,5,Local Brand,Café,3295,Taste,No,Medium Sugar,Yes,3,Evening,No
Chennai,Tamil Nadu,26-35,Male,Instant,3,Others,Café,1496,Energy,Yes,Medium Sugar,Yes,4,Evening,Yes
Mumbai,Maharashtra,36-50,Male,Brewed,4,Starbucks,Café,202,Taste,No,No Sugar,No,4,Night,Yes
Hyderabad,Telangana,50+,Female,Cold Coffee,2,Starbucks,Café,1110,Habit,Yes,High Sugar,Yes,2,Afternoon,No
Mumbai,Maharashtra,36-50,Other,Filter Coffee,5,Starbucks,Home,4215,Energy,Yes,Medium Sugar,Yes,2,Morning,Yes
Chennai,Tamil Nadu,18-25,Other,Filter Coffee,1,Local Brand,Café,1638,Socializing,Yes,Medium Sugar,Yes,0,Morning,No
Jaipur,Rajasthan,50+,Other,Instant,2,Starbucks,Office,408,Taste,No,Less Sugar,Yes,1,Morning,Yes
Kolkata,West Bengal,36-50,Female,Cold Coffee,1,Bru,Office,4922,Energy,Yes,High Sugar,Yes,4,Afternoon,No
Ahmedabad,Gujarat,26-35,Male,Brewed,5,Nestlé,Café,4208,Socializing,No,Medium Sugar,Yes,4,Morning,No
Hyderabad,Telangana,50+,Other,Instant,1,Bru,Café,971,Energy,No,No Sugar,No,3,Morning,No
Mumbai,Maharashtra,18-25,Other,Instant,4,Bru,Office,721,Socializing,Yes,High Sugar,Yes,3,Morning,Yes
Hyderabad,Telangana,36-50,Female,Instant,1,Bru,Office,3938,Taste,No,No Sugar,Yes,3,Evening,No
Bangalore,Karnataka,36-50,Female,Brewed,4,Others,Café,3447,Taste,No,Medium Sugar,No,2,Morning,No
Hyderabad,Telangana,18-25,Male,Cold Coffee,1,Others,Café,4881,Energy,Yes,No Sugar,Yes,6,Afternoon,Yes
Kolkata,West Bengal,26-35,Other,Espresso,4,Nestlé,Café,3669,Socializing,Yes,No Sugar,Yes,5,Evening,Yes
Bangalore,Karnataka,36-50,Other,Instant,3,Others,Café,3640,Habit,Yes,High Sugar,Yes,4,Afternoon,Yes
Pune,Maharashtra,50+,Other,Cold Coffee,2,Starbucks,Office,3850,Energy,Yes,No Sugar,Yes,5,Morning,Yes
Chennai,Tamil Nadu,26-35,Other,Instant,3,Nestlé,Café,1149,Socializing,No,Medium Sugar,No,4,Night,No
Chennai,Tamil Nadu,26-35,Male,Cold Coffee,2,Bru,Café,3143,Habit,Yes,Medium Sugar,Yes,2,Evening,No
Pune,Maharashtra,26-35,Male,Cold Coffee,3,Nestlé,Office,2535,Socializing,No,No Sugar,No,2,Afternoon,Yes
Kolkata,West Bengal,36-50,Male,Cold Coffee,3,Starbucks,Home,2415,Energy,No,Less Sugar,No,5,Afternoon,No
Ahmedabad,Gujarat,50+,Male,Instant,5,Nestlé,Office,627,Socializing,Yes,High Sugar,No,5,Morning,Yes
Kolkata,West Bengal,18-25,Female,Filter Coffee,2,Others,Office,744,Energy,No,Medium Sugar,No,4,Morning,No
Lucknow,Uttar Pradesh,36-50,Other,Espresso,4,Bru,Office,3965,Socializing,No,Less Sugar,No,2,Afternoon,Yes
Delhi,Delhi,50+,Male,Brewed,3,Others,Café,3027,Taste,No,High Sugar,Yes,2,Morning,Yes
Mumbai,Maharashtra,26-35,Other,Instant,4,Local Brand,Home,930,Socializing,No,No Sugar,Yes,0,Evening,Yes
Mumbai,Maharashtra,36-50,Other,Espresso,1,Local Brand,Office,4379,Energy,Yes,No Sugar,No,3,Evening,No
Bangalore,Karnataka,36-50,Male,Instant,3,Bru,Home,333,Taste,No,No Sugar,Yes,3,Morning,Yes
Delhi,Delhi,18-25,Male,Instant,3,Starbucks,Café,866,Habit,No,Less Sugar,Yes,4,Evening,Yes
Ahmedabad,Gujarat,50+,Other,Instant,4,Starbucks,Café,1081,Taste,Yes,High Sugar,No,4,Morning,Yes
Pune,Maharashtra,18-25,Other,Espresso,3,Others,Café,1437,Socializing,No,High Sugar,Yes,3,Evening,No
Lucknow,Uttar Pradesh,50+,Other,Espresso,5,Nestlé,Home,358,Taste,No,No Sugar,No,3,Night,No
Lucknow,Uttar Pradesh,50+,Female,Brewed,5,Local Brand,Office,2796,Socializing,Yes,Less Sugar,No,4,Morning,Yes
Ahmedabad,Gujarat,18-25,Male,Cold Coffee,1,Starbucks,Café,4015,Habit,Yes,Medium Sugar,Yes,3,Afternoon,Yes
Delhi,Delhi,18-25,Male,Filter Coffee,4,Nestlé,Office,4574,Habit,Yes,Less Sugar,No,6,Afternoon,Yes
Bangalore,Karnataka,26-35,Other,Instant,4,Starbucks,Home,741,Taste,Yes,High Sugar,Yes,2,Night,No
Lucknow,Uttar Pradesh,50+,Female,Espresso,2,Local Brand,Office,3483,Socializing,Yes,High Sugar,Yes,5,Morning,No
Delhi,Delhi,18-25,Male,Espresso,3,Local Brand,Office,3810,Socializing,Yes,Less Sugar,Yes,0,Afternoon,No
Delhi,Delhi,36-50,Other,Espresso,4,Others,Café,1956,Energy,Yes,High Sugar,No,6,Afternoon,Yes
Pune,Maharashtra,26-35,Other,Espresso,3,Starbucks,Office,2506,Habit,No,Less Sugar,No,1,Morning,No
Ahmedabad,Gujarat,50+,Female,Instant,1,Others,Office,922,Energy,No,High Sugar,Yes,2,Morning,No
Jaipur,Rajasthan,36-50,Other,Espresso,5,Starbucks,Home,524,Energy,Yes,High Sugar,No,1,Evening,Yes
Hyderabad,Telangana,36-50,Male,Filter Coffee,2,Others,Home,2145,Socializing,No,High Sugar,Yes,4,Evening,No
Jaipur,Rajasthan,50+,Other,Filter Coffee,5,Nestlé,Home,767,Energy,No,No Sugar,Yes,0,Night,No
Chennai,Tamil Nadu,36-50,Female,Filter Coffee,4,Starbucks,Office,2219,Socializing,No,Medium Sugar,No,0,Afternoon,No
Chennai,Tamil Nadu,26-35,Other,Instant,4,Others,Office,4109,Energy,No,High Sugar,No,4,Evening,No
Delhi,Delhi,26-35,Female,Espresso,4,Starbucks,Café,556,Socializing,No,No Sugar,No,5,Morning,No
Ahmedabad,Gujarat,18-25,Female,Espresso,1,Starbucks,Home,3281,Energy,Yes,No Sugar,No,0,Afternoon,Yes
Hyderabad,Telangana,18-25,Male,Filter Coffee,4,Bru,Café,2660,Taste,Yes,Less Sugar,No,5,Night,No
Bangalore,Karnataka,36-50,Male,Espresso,4,Starbucks,Café,2987,Taste,No,No Sugar,No,1,Night,No
Jaipur,Rajasthan,36-50,Female,Espresso,5,Bru,Office,1397,Socializing,No,Less Sugar,No,6,Afternoon,No
Hyderabad,Telangana,26-35,Other,Brewed,2,Bru,Home,4200,Taste,Yes,No Sugar,No,4,Morning,Yes
Pune,Maharashtra,36-50,Other,Filter Coffee,1,Nestlé,Café,525,Taste,No,Medium Sugar,Yes,5,Morning,Yes
Hyderabad,Telangana,50+,Female,Instant,3,Others,Café,503,Socializing,Yes,High Sugar,Yes,3,Evening,Yes
Mumbai,Maharashtra,26-35,Male,Instant,4,Others,Café,1640,Socializing,Yes,Less Sugar,Yes,6,Evening,Yes
Pune,Maharashtra,36-50,Male,Filter Coffee,5,Others,Café,3234,Energy,No,Medium Sugar,No,4,Evening,Yes
Chennai,Tamil Nadu,50+,Female,Cold Coffee,2,Starbucks,Home,2569,Energy,Yes,No Sugar,Yes,3,Morning,No
Ahmedabad,Gujarat,50+,Other,Instant,1,Starbucks,Home,2510,Socializing,Yes,Less Sugar,Yes,2,Morning,No
Delhi,Delhi,50+,Female,Instant,4,Others,Café,1863,Socializing,Yes,High Sugar,Yes,4,Evening,No
Kolkata,West Bengal,26-35,Male,Espresso,3,Bru,Café,892,Taste,Yes,No Sugar,No,2,Morning,No
Chennai,Tamil Nadu,18-25,Other,Instant,1,Local Brand,Café,738,Taste,Yes,Less Sugar,No,3,Evening,No
Jaipur,Rajasthan,26-35,Other,Filter Coffee,2,Local Brand,Café,3362,Taste,No,No Sugar,Yes,5,Night,No
Ahmedabad,Gujarat,50+,Male,Cold Coffee,2,Others,Home,1228,Energy,Yes,No Sugar,Yes,1,Morning,No
Bangalore,Karnataka,26-35,Male,Cold Coffee,3,Bru,Café,1442,Taste,Yes,Less Sugar,No,5,Night,No
Mumbai,Maharashtra,36-50,Female,Cold Coffee,1,Nestlé,Café,1805,Taste,Yes,Medium Sugar,No,2,Night,No
Pune,Maharashtra,18-25,Female,Instant,2,Bru,Café,4271,Energy,No,Medium Sugar,No,6,Evening,Yes
Ahmedabad,Gujarat,26-35,Male,Cold Coffee,1,Others,Café,3826,Energy,Yes,No Sugar,No,2,Night,Yes
Pune,Maharashtra,18-25,Female,Filter Coffee,5,Local Brand,Home,3911,Energy,Yes,High Sugar,No,0,Evening,No
Delhi,Delhi,18-25,Female,Brewed,5,Local Brand,Café,420,Energy,Yes,High Sugar,No,3,Morning,No
Mumbai,Maharashtra,26-35,Female,Filter Coffee,5,Bru,Home,1293,Socializing,Yes,Medium Sugar,No,1,Evening,No
Pune,Maharashtra,18-25,Female,Cold Coffee,3,Starbucks,Home,2815,Energy,Yes,High Sugar,No,4,Night,Yes
Bangalore,Karnataka,26-35,Other,Filter Coffee,3,Local Brand,Office,800,Energy,Yes,No Sugar,No,0,Evening,Yes
Bangalore,Karnataka,36-50,Other,Brewed,3,Local Brand,Home,4513,Energy,No,Medium Sugar,Yes,2,Afternoon,Yes
Lucknow,Uttar Pradesh,26-35,Female,Brewed,3,Others,Café,4907,Energy,No,Medium Sugar,No,0,Night,Yes
Ahmedabad,Gujarat,50+,Female,Filter Coffee,1,Bru,Home,1404,Habit,No,Less Sugar,No,5,Night,Yes
Ahmedabad,Gujarat,26-35,Male,Espresso,3,Nestlé,Office,567,Taste,Yes,High Sugar,Yes,2,Night,Yes
Kolkata,West Bengal,26-35,Female,Filter Coffee,2,Others,Café,815,Socializing,Yes,No Sugar,No,6,Evening,No
Kolkata,West Bengal,26-35,Male,Instant,1,Nestlé,Home,3427,Taste,No,Medium Sugar,Yes,4,Afternoon,No
Mumbai,Maharashtra,36-50,Female,Instant,2,Others,Home,3203,Energy,Yes,Less Sugar,No,2,Morning,No
Bangalore,Karnataka,18-25,Male,Filter Coffee,4,Starbucks,Café,3023,Taste,No,Less Sugar,Yes,1,Afternoon,No
Jaipur,Rajasthan,36-50,Other,Espresso,1,Starbucks,Home,4081,Socializing,No,Less Sugar,Yes,2,Afternoon,No
Lucknow,Uttar Pradesh,26-35,Male,Espresso,3,Nestlé,Office,4320,Socializing,Yes,No Sugar,No,5,Morning,No
Delhi,Delhi,18-25,Other,Cold Coffee,5,Nestlé,Office,1759,Energy,No,No Sugar,Yes,3,Afternoon,No
Bangalore,Karnataka,50+,Male,Espresso,4,Starbucks,Café,3738,Taste,Yes,High Sugar,No,1,Evening,Yes
Pune,Maharashtra,50+,Male,Brewed,2,Local Brand,Home,3157,Taste,Yes,No Sugar,No,4,Evening,Yes
Bangalore,Karnataka,36-50,Male,Instant,2,Local Brand,Office,4391,Taste,Yes,High Sugar,No,3,Evening,Yes
Delhi,Delhi,50+,Female,Instant,2,Local Brand,Home,2102,Socializing,Yes,Medium Sugar,No,4,Morning,Yes
Chennai,Tamil Nadu,50+,Female,Instant,4,Starbucks,Café,2767,Habit,Yes,High Sugar,No,6,Evening,No
Delhi,Delhi,18-25,Other,Instant,2,Bru,Home,3314,Energy,No,Less Sugar,Yes,2,Morning,Yes
Jaipur,Rajasthan,36-50,Female,Espresso,3,Starbucks,Home,2091,Socializing,Yes,High Sugar,No,6,Morning,No
Ahmedabad,Gujarat,50+,Other,Espresso,1,Starbucks,Office,4410,Energy,No,High Sugar,No,2,Night,Yes
Bangalore,Karnataka,26-35,Male,Filter Coffee,1,Starbucks,Café,3233,Habit,Yes,Medium Sugar,Yes,6,Night,Yes
Hyderabad,Telangana,26-35,Other,Espresso,4,Bru,Café,266,Energy,No,Less Sugar,No,4,Afternoon,Yes
Ahmedabad,Gujarat,50+,Female,Espresso,2,Starbucks,Home,1977,Taste,Yes,No Sugar,Yes,6,Evening,Yes
Delhi,Delhi,50+,Male,Cold Coffee,5,Nestlé,Office,2428,Energy,Yes,Medium Sugar,No,5,Afternoon,Yes
Ahmedabad,Gujarat,36-50,Male,Instant,5,Bru,Office,2086,Habit,Yes,Medium Sugar,Yes,6,Afternoon,Yes
Bangalore,Karnataka,50+,Male,Instant,1,Starbucks,Café,1437,Taste,No,No Sugar,Yes,6,Evening,No
Chennai,Tamil Nadu,36-50,Male,Instant,1,Local Brand,Home,837,Energy,No,Less Sugar,Yes,2,Evening,No
Ahmedabad,Gujarat,18-25,Other,Espresso,1,Starbucks,Home,3787,Taste,Yes,Medium Sugar,No,6,Morning,No
Pune,Maharashtra,26-35,Other,Brewed,3,Nestlé,Café,4042,Taste,No,Medium Sugar,Yes,2,Afternoon,No
Kolkata,West Bengal,50+,Male,Cold Coffee,3,Local Brand,Office,2147,Energy,Yes,High Sugar,Yes,6,Evening,No
Lucknow,Uttar Pradesh,26-35,Male,Espresso,1,Starbucks,Home,1126,Socializing,No,No Sugar,Yes,1,Afternoon,No
Delhi,Delhi,26-35,Female,Filter Coffee,1,Starbucks,Café,2717,Energy,No,No Sugar,No,5,Morning,No
Hyderabad,Telangana,26-35,Male,Filter Coffee,1,Nestlé,Café,3580,Taste,No,High Sugar,Yes,6,Afternoon,No
Hyderabad,Telangana,50+,Male,Filter Coffee,4,Others,Café,509,Taste,Yes,Less Sugar,Yes,0,Night,No
Mumbai,Maharashtra,50+,Other,Filter Coffee,4,Bru,Office,4152,Socializing,No,Less Sugar,Yes,0,Evening,Yes
Jaipur,Rajasthan,50+,Male,Cold Coffee,2,Bru,Home,1764,Energy,No,High Sugar,No,4,Evening,No
Hyderabad,Telangana,50+,Female,Instant,5,Nestlé,Office,215,Taste,No,Medium Sugar,Yes,5,Morning,No
Kolkata,West Bengal,36-50,Male,Espresso,5,Local Brand,Home,3583,Socializing,Yes,Medium Sugar,Yes,6,Evening,Yes
Chennai,Tamil Nadu,50+,Male,Filter Coffee,2,Local Brand,Café,1094,Habit,No,High Sugar,No,0,Morning,No
Delhi,Delhi,36-50,Male,Espresso,5,Nestlé,Office,613,Habit,No,Less Sugar,No,0,Morning,Yes
Jaipur,Rajasthan,36-50,Other,Espresso,5,Bru,Office,515,Taste,Yes,No Sugar,Yes,2,Afternoon,No
Ahmedabad,Gujarat,26-35,Female,Brewed,5,Starbucks,Office,3255,Habit,Yes,High Sugar,No,1,Night,Yes
Jaipur,Rajasthan,36-50,Other,Filter Coffee,4,Others,Home,2153,Taste,No,Medium Sugar,Yes,4,Night,No
Chennai,Tamil Nadu,50+,Female,Brewed,2,Others,Café,4739,Energy,Yes,High Sugar,Yes,6,Night,No
Chennai,Tamil Nadu,36-50,Other,Espresso,3,Starbucks,Home,2615,Habit,No,No Sugar,No,4,Evening,Yes
Lucknow,Uttar Pradesh,36-50,Other,Filter Coffee,5,Bru,Home,503,Socializing,Yes,Medium Sugar,No,3,Evening,Yes
Ahmedabad,Gujarat,26-35,Other,Cold Coffee,2,Starbucks,Home,4998,Energy,No,No Sugar,No,5,Afternoon,Yes
Kolkata,West Bengal,36-50,Female,Instant,4,Others,Café,2260,Socializing,No,Less Sugar,No,6,Afternoon,No
Ahmedabad,Gujarat,36-50,Male,Espresso,4,Nestlé,Café,4455,Taste,No,High Sugar,Yes,1,Afternoon,No
Hyderabad,Telangana,50+,Female,Filter Coffee,2,Bru,Home,3797,Socializing,No,High Sugar,No,3,Morning,Yes
Lucknow,Uttar Pradesh,18-25,Female,Espresso,1,Nestlé,Office,4075,Habit,Yes,High Sugar,Yes,5,Afternoon,No
Pune,Maharashtra,18-25,Female,Instant,3,Starbucks,Home,2179,Energy,No,No Sugar,Yes,4,Afternoon,Yes
Mumbai,Maharashtra,26-35,Female,Instant,4,Bru,Office,3292,Energy,Yes,Less Sugar,No,2,Morning,Yes
Delhi,Delhi,36-50,Female,Espresso,1,Local Brand,Home,2536,Energy,No,Medium Sugar,No,6,Afternoon,Yes
Ahmedabad,Gujarat,26-35,Other,Cold Coffee,2,Nestlé,Café,4017,Socializing,No,High Sugar,No,1,Evening,No
Jaipur,Rajasthan,36-50,Female,Brewed,5,Local Brand,Home,4843,Taste,Yes,Less Sugar,No,0,Night,No
